"timestamp","cpu_percent","committed_memory_percent"
"2026-08-17T23:42:02.9396707+07:00","66.13","96.49"
"2026-08-17T23:42:03.9885949+07:00","62.39","96.45"
"2026-08-17T23:42:05.0040368+07:00","45.25","96.53"
"2026-08-17T23:42:06.0134114+07:00","42.34","96.56"
"2026-08-17T23:42:07.0255668+07:00","31.3","96.52"
"2026-08-17T23:42:08.0397951+07:00","20.02","96.49"
"2026-08-17T23:42:09.0440017+07:00","31.8","96.43"
"2026-08-17T23:42:10.0524194+07:00","33.37","96.49"
"2026-08-17T23:42:11.0537228+07:00","33.03","96.48"
"2026-08-17T23:42:12.0675772+07:00","31.68","96.41"
"2026-08-17T23:42:13.0827495+07:00","26.89","96.45"
"2026-08-17T23:42:14.0861914+07:00","42.52","96.45"
"2026-08-17T23:42:15.0928217+07:00","38.69","96.51"
"2026-08-17T23:42:16.1094432+07:00","39.03","96.59"
"2026-08-17T23:42:17.1211008+07:00","35.13","96.61"
"2026-08-17T23:42:18.1303436+07:00","35.62","96.54"
"2026-08-17T23:42:19.1316423+07:00","36.41","96.55"
"2026-08-17T23:42:20.1386233+07:00","37.93","96.61"
"2026-08-17T23:42:21.1408155+07:00","37.77","96.74"
"2026-08-17T23:42:22.1532854+07:00","32.23","97.01"
"2026-08-17T23:42:23.1556215+07:00","45.7","97.06"
"2026-08-17T23:42:24.1695285+07:00","37.97","97.12"
"2026-08-17T23:42:25.1702740+07:00","52.12","97.09"
"2026-08-17T23:42:26.1819858+07:00","47.23","97.15"
"2026-08-17T23:42:27.1852166+07:00","54.7","96.99"
"2026-08-17T23:42:28.1876256+07:00","43.63","97.02"
"2026-08-17T23:42:29.1992807+07:00","50.45","97.12"
"2026-08-17T23:42:30.2129981+07:00","41.3","96.58"
"2026-08-17T23:42:31.2187626+07:00","48.22","96.59"
"2026-08-17T23:42:32.2242734+07:00","29.43","96.6"
"2026-08-17T23:42:33.2261849+07:00","27.22","96.67"
"2026-08-17T23:42:34.2300307+07:00","31.51","96.68"
"2026-08-17T23:42:35.2453968+07:00","30.88","96.79"
"2026-08-17T23:42:36.2592409+07:00","27.05","96.71"
"2026-08-17T23:42:37.2620750+07:00","34.17","96.7"
"2026-08-17T23:42:38.2742945+07:00","35.55","96.76"
"2026-08-17T23:42:39.2882024+07:00","29.5","96.78"
"2026-08-17T23:42:40.3025825+07:00","37.36","96.85"
"2026-08-17T23:42:41.3070013+07:00","25.33","96.76"
"2026-08-17T23:42:42.3212028+07:00","34.52","96.75"
"2026-08-17T23:42:43.3360470+07:00","28.79","96.89"
"2026-08-17T23:42:44.3480177+07:00","27.82","96.8"
"2026-08-17T23:42:45.3610007+07:00","25.58","96.82"
"2026-08-17T23:42:46.3628035+07:00","32.54","97.03"
"2026-08-17T23:42:47.3742561+07:00","35.89","96.95"
"2026-08-17T23:42:48.3746153+07:00","38.95","96.99"
"2026-08-17T23:42:49.3864039+07:00","38.87","97.08"
"2026-08-17T23:42:50.4013488+07:00","41.76","97.04"
"2026-08-17T23:42:51.4022155+07:00","32.74","96.96"
"2026-08-17T23:42:52.4035962+07:00","31.6","96.89"
"2026-08-17T23:42:53.4063578+07:00","38.06","96.94"
"2026-08-17T23:42:54.4209382+07:00","46.74","97.03"
"2026-08-17T23:42:55.4354079+07:00","53.67","97.28"
"2026-08-17T23:42:56.4492852+07:00","68.54","97.16"
"2026-08-17T23:42:57.4645367+07:00","67.42","97.04"
"2026-08-17T23:42:58.4648895+07:00","35.18","96.83"
"2026-08-17T23:42:59.4792666+07:00","27.09","96.78"
"2026-08-17T23:43:00.4940493+07:00","33.15","96.82"
"2026-08-17T23:43:01.4993409+07:00","29.93","96.9"
"2026-08-17T23:43:02.5139578+07:00","43.41","96.77"
"2026-08-17T23:43:03.5182239+07:00","33.62","96.78"
"2026-08-17T23:43:04.5480327+07:00","29.07","96.83"
"2026-08-17T23:43:05.5507411+07:00","29.88","96.82"
"2026-08-17T23:43:06.5613622+07:00","52.33","96.89"
"2026-08-17T23:43:07.5760556+07:00","64.2","96.4"
"2026-08-17T23:43:08.5926606+07:00","65.67","96.5"
"2026-08-17T23:43:09.5967228+07:00","45.02","96.05"
"2026-08-17T23:43:10.6096097+07:00","16.96","95.84"
"2026-08-17T23:43:11.6221283+07:00","26.57","96"
"2026-08-17T23:43:12.6352121+07:00","24.04","96.26"
"2026-08-17T23:43:13.6496551+07:00","16.7","96.39"
"2026-08-17T23:43:14.6646571+07:00","36.24","96.39"
"2026-08-17T23:43:15.6786061+07:00","57.75","96.66"
"2026-08-17T23:43:16.6913636+07:00","76.09","96.58"
"2026-08-17T23:43:17.6928085+07:00","40.97","92.52"
"2026-08-17T23:43:18.7077096+07:00","21.1","92.46"
"2026-08-17T23:43:19.7200041+07:00","6.87","92.3"
"2026-08-17T23:43:20.7202835+07:00","7.97","91.97"
"2026-08-17T23:43:21.7316492+07:00","13.23","91.96"
"2026-08-17T23:43:22.7449445+07:00","10.18","91.95"
