"timestamp","cpu_percent","physical_ram_used_percent","physical_ram_used_mb"
"2026-08-18T01:09:39.1054461+07:00","70.86","82.22","20024"
"2026-08-18T01:09:40.1681176+07:00","64.96","82.36","20059"
"2026-08-18T01:09:41.1853366+07:00","79.78","82.46","20083"
"2026-08-18T01:09:42.2005796+07:00","95.38","82.43","20076"
"2026-08-18T01:09:43.2128230+07:00","45.85","82.47","20086"
"2026-08-18T01:09:44.2254211+07:00","36.73","82.49","20091"
"2026-08-18T01:09:45.2406007+07:00","54.72","82.61","20120"
"2026-08-18T01:09:46.2552231+07:00","52.65","82.78","20162"
"2026-08-18T01:09:47.2693150+07:00","37.6","82.89","20189"
"2026-08-18T01:09:48.2839089+07:00","24.15","82.91","20193"
"2026-08-18T01:09:49.2989707+07:00","24.57","82.98","20210"
"2026-08-18T01:09:50.3095723+07:00","24.11","83.11","20242"
"2026-08-18T01:09:51.3242310+07:00","23","83.11","20241"
"2026-08-18T01:09:52.3385466+07:00","22.21","83.19","20261"
"2026-08-18T01:09:53.3417255+07:00","25.24","83.23","20271"
"2026-08-18T01:09:54.3435472+07:00","36.44","83.37","20304"
"2026-08-18T01:09:55.3494863+07:00","36.06","83.59","20359"
"2026-08-18T01:09:56.3630017+07:00","56.32","83.55","20349"
"2026-08-18T01:09:57.3770398+07:00","48.51","83.78","20405"
"2026-08-18T01:09:58.3895632+07:00","44.7","83.33","20296"
"2026-08-18T01:09:59.4016807+07:00","25.25","82.76","20156"
"2026-08-18T01:10:00.4178863+07:00","28.5","81.56","19864"
"2026-08-18T01:10:01.4187595+07:00","22.85","81.65","19885"
"2026-08-18T01:10:02.4202236+07:00","47.99","81.66","19889"
"2026-08-18T01:10:03.4310333+07:00","61.23","81.74","19907"
"2026-08-18T01:10:04.4475184+07:00","59.39","81.91","19949"
"2026-08-18T01:10:05.4609884+07:00","37.56","82.06","19985"
"2026-08-18T01:10:06.4707239+07:00","23.66","82.23","20028"
"2026-08-18T01:10:07.4745762+07:00","26.46","82.28","20040"
"2026-08-18T01:10:08.4876876+07:00","24.04","82.42","20074"
"2026-08-18T01:10:09.5015821+07:00","21.28","82.56","20107"
"2026-08-18T01:10:10.5153437+07:00","26.53","82.65","20130"
"2026-08-18T01:10:11.5273509+07:00","33.61","82.74","20151"
"2026-08-18T01:10:12.5403299+07:00","21.46","82.87","20184"
"2026-08-18T01:10:13.5529245+07:00","41.49","83.02","20219"
"2026-08-18T01:10:14.5662442+07:00","29.71","83.12","20245"
"2026-08-18T01:10:15.5793038+07:00","21.47","83.19","20261"
"2026-08-18T01:10:16.5931349+07:00","30.13","83.27","20281"
"2026-08-18T01:10:17.6043228+07:00","30.08","83.16","20253"
"2026-08-18T01:10:18.6193365+07:00","20.34","83.16","20253"
"2026-08-18T01:10:19.6219129+07:00","27.53","83.29","20285"
"2026-08-18T01:10:20.6350610+07:00","18.52","83.56","20350"
"2026-08-18T01:10:21.6471066+07:00","31.3","83.49","20333"
"2026-08-18T01:10:22.6610995+07:00","17.69","83.6","20361"
"2026-08-18T01:10:23.6741972+07:00","27.13","83.76","20400"
"2026-08-18T01:10:24.6871409+07:00","64.91","83.84","20418"
"2026-08-18T01:10:25.7049666+07:00","53.82","82.14","20005"
